Suburb,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total Persons
Woolgoolga,779,773,812,743,503,632,667,601,738,728,863,1009,1011,756,543,450,345,304,12257
Bourke,412,426,319,252,265,335,263,243,331,289,353,290,209,178,130,109,62,59,4525
Cobar,421,420,319,284,351,407,388,382,323,304,318,336,229,175,170,124,94,75,5120
Coonamble,315,292,257,320,344,278,247,211,269,268,337,307,267,248,200,149,115,99,4523
Nyngan,403,446,353,309,313,309,260,314,394,393,396,324,323,298,270,193,129,114,5541
Walgett,506,540,407,349,420,439,402,387,471,468,515,581,458,451,392,213,117,120,7236
Broken Hill,1050,1090,1205,1148,1160,1137,1009,853,1162,1183,1451,1360,1274,1164,890,744,604,564,19048
Far West,187,197,205,127,137,162,230,176,195,197,204,221,175,164,103,61,24,26,2791
Coonabarabran,426,584,576,490,325,383,350,396,525,523,583,626,614,561,491,380,263,239,8335
Dubbo,982,840,766,907,921,835,620,696,739,753,807,756,556,451,336,262,167,200,11594
Dubbo,1159,1161,1176,1192,1137,1180,1052,974,1072,1029,1075,967,812,728,607,518,461,507,16807
Dubbo,702,708,610,548,577,544,563,498,506,456,513,413,425,399,307,215,146,91,8221
Dubbo Region,312,348,392,383,220,223,243,311,334,395,480,438,383,330,220,140,92,64,5308
Gilgandra,270,292,299,262,186,217,214,221,246,316,333,338,287,298,266,197,135,153,4530
Narromine,522,612,551,371,324,340,385,354,420,394,465,444,448,467,313,235,161,141,6947
Wellington,594,680,649,528,523,493,478,516,636,531,595,590,570,573,419,365,266,210,9216
Branxton,821,793,704,670,564,666,723,712,729,648,630,647,586,538,291,162,91,93,10068
Cessnock,1564,1482,1393,1391,1593,1685,1587,1287,1417,1338,1342,1373,1216,1058,822,654,537,441,22180
Cessnock Region,482,616,515,526,359,280,383,477,577,544,597,586,542,437,295,170,109,97,7592
Dungog,518,545,593,599,401,395,446,493,584,670,719,720,660,590,469,343,179,184,9108
Kurri Kurri,1233,1204,1093,1220,1130,1158,1113,1033,1125,1002,1127,1123,1092,948,623,425,297,295,17241
Singleton,1194,1166,1146,1276,1321,1481,1317,1070,1250,1187,1090,983,657,587,353,328,243,255,16904
Singleton Region,349,332,349,313,303,210,300,302,344,398,431,392,325,252,186,82,82,62,5012
Maitland,450,357,332,366,440,398,379,421,440,361,413,349,267,205,171,169,132,177,5827
Maitland,1943,1887,1848,1798,1894,1950,1818,1847,1941,1743,1851,1658,1593,1398,934,756,589,532,27980
Maitland,454,621,577,584,403,400,422,528,563,510,486,476,372,407,273,197,118,180,7571
Maitland,1695,1614,1441,1504,1466,1486,1601,1562,1487,1275,1288,1166,996,875,575,426,337,263,21057
Thornton,683,683,699,678,653,627,635,594,759,664,755,603,472,364,219,132,103,55,9378
Anna Bay,303,319,462,463,373,165,253,295,418,413,446,350,373,476,290,250,125,108,5882
Lemon Tree Passage,464,467,392,353,304,322,358,346,348,379,444,484,493,600,449,290,177,163,6833
Nelson Bay Peninsula,879,1119,1196,1127,929,783,918,973,1312,1293,1455,1470,1531,1907,1596,1119,852,794,21253
Raymond Terrace,1075,1103,939,995,1101,960,877,822,887,875,966,905,826,687,488,400,310,289,14505
Seaham,284,447,466,510,372,209,238,272,480,478,536,408,360,285,188,110,62,61,5766
Tea Gardens,202,180,264,175,98,107,140,187,178,213,277,343,473,604,581,344,265,189,4820
Williamtown,919,1033,937,855,793,814,819,915,939,948,875,791,780,814,563,324,153,132,13404
Muswellbrook,943,924,837,883,1056,1064,946,814,885,842,842,770,593,419,336,243,173,153,12723
Muswellbrook Region,294,357,347,310,233,262,220,357,357,285,304,221,188,205,148,89,80,65,4322
Scone,453,514,454,409,341,461,445,386,421,360,384,387,325,268,250,170,146,165,6339
Scone Region,533,572,587,443,430,505,523,529,509,553,563,559,536,529,342,271,170,168,8322
Berkeley,1821,1645,1591,1745,1838,1642,1633,1565,1820,1736,2039,1775,1636,1492,1340,1308,988,795,28409
Dapto,1462,1582,1479,1545,1538,1413,1385,1436,1545,1414,1583,1366,1405,1470,1194,888,618,523,23846
Horsley,598,640,638,624,465,466,598,554,627,531,562,444,433,277,245,162,112,83,8059
Port Kembla Industrial,0,0,0,0,1,2,0,6,0,0,6,5,8,0,3,1,0,0,32
Unanderra,877,1098,1142,1188,1085,893,948,939,1148,1114,1295,1070,850,772,515,402,338,391,16065
Illawarra Catchment Reserve,3,0,0,3,0,1,5,0,0,0,0,0,0,0,0,1,0,0,13
Albion Park,1032,1087,1167,1154,886,911,884,949,1094,1094,974,778,745,486,373,253,205,184,14256
Albion Park Rail,519,455,459,518,618,499,405,387,451,456,487,505,419,361,266,194,146,175,7320
Kiama,343,363,410,473,344,307,267,359,483,485,565,607,610,586,459,366,284,327,7638
Kiama Downs,414,390,330,372,347,293,345,369,351,334,456,564,456,352,234,165,126,118,6016
Kiama Hinterland,413,425,563,521,396,261,319,356,480,473,582,625,557,469,424,294,210,228,7596
Shellharbour,990,1286,1266,1212,901,690,885,1211,1334,1116,1113,926,771,665,501,321,225,156,15569
Shellharbour,591,614,672,712,684,758,695,615,681,677,773,714,633,518,382,365,223,171,10478
Warilla,1251,1248,1313,1479,1463,1259,1125,992,1337,1262,1466,1397,1207,1326,1064,909,578,463,21139
Balgownie,1257,1163,1160,1432,1776,1473,1261,1329,1379,1342,1463,1257,1112,1102,871,867,651,650,21545
Corrimal,888,966,861,1063,1005,1074,987,1077,1156,965,1161,1097,870,769,629,493,463,429,15953
Figtree,1229,1474,1329,1397,2121,1366,1287,1356,1541,1259,1232,1194,1184,1085,797,731,582,465,21629
Helensburgh,694,685,618,657,548,439,526,659,659,638,736,610,436,364,249,168,133,161,8980
Thirroul,745,844,813,777,642,473,638,763,870,851,966,906,719,555,388,236,216,199,11601
Wollongong,1378,1221,1135,1502,4454,3927,2594,1931,1724,1548,1593,1551,1490,1381,1082,875,654,753,30793
Woonona,1324,1425,1304,1295,1163,1010,1167,1316,1528,1365,1410,1272,1111,936,738,553,465,526,19908
Bulahdelah,259,320,298,303,188,210,186,212,375,386,388,426,369,324,267,191,143,112,4957
Forster,623,706,777,742,539,491,553,552,696,760,920,1030,1181,1373,1103,1014,751,728,14539
Forster-Tuncurry Region,313,422,389,298,157,203,184,314,376,320,445,527,522,553,423,232,145,111,5934
Tuncurry,162,225,266,239,228,167,173,225,294,319,373,448,512,671,556,498,374,437,6167
Kempsey,990,1111,1128,1048,872,911,778,722,896,900,954,1031,945,871,662,499,355,392,15065
Kempsey Region,412,584,566,588,275,326,344,501,491,612,872,1022,871,741,426,308,204,215,9358
Macksville,262,311,310,261,227,159,196,214,260,292,310,383,387,359,316,220,221,230,4918
Nambucca Heads,365,399,328,360,261,294,330,272,326,339,481,507,529,592,549,388,305,366,6991
Nambucca Heads Region,379,485,530,546,292,257,221,356,462,477,725,726,667,627,377,308,152,158,7745
South West Rocks,287,262,294,249,157,144,211,235,261,286,364,405,480,512,388,315,209,216,5275
Lord Howe Island,32,29,9,18,16,16,34,33,20,21,40,28,28,18,23,14,10,7,396
Laurieton,639,880,1032,920,492,487,529,736,954,1001,1139,1117,1335,1452,1274,941,719,642,16289
Port Macquarie,1588,1780,1666,1693,1384,1130,1395,1625,1944,1704,2097,1954,1827,1956,1695,1287,986,931,28642
Port Macquarie,896,868,914,885,745,701,822,690,901,885,949,1009,1070,1254,1103,993,749,799,16233
Port Macquarie Region,198,266,354,377,213,198,182,255,377,452,500,556,444,428,287,161,84,92,5424
Wauchope,642,813,825,707,455,436,474,576,756,632,741,806,708,736,593,420,300,287,10907
Gloucester,246,301,299,268,153,180,197,213,296,298,364,400,424,451,349,239,182,194,5054
Old Bar,560,644,630,660,309,316,358,482,676,582,703,861,833,850,672,442,314,269,10161
Taree,1148,1373,1430,1398,1084,995,1065,1073,1175,1145,1389,1314,1314,1347,1239,1019,722,769,20999
Taree Region,548,672,695,746,428,329,427,494,681,706,1072,1171,1251,1196,844,497,294,233,12284
Wingham,279,359,394,385,228,226,218,228,278,382,429,454,361,335,295,243,179,176,5449
Albury,1047,902,963,966,1153,1089,982,979,942,818,901,788,682,582,453,337,280,262,14126
Albury,620,627,616,733,734,704,597,619,688,639,624,571,515,521,395,300,227,230,9960
Albury,566,490,652,900,942,717,627,621,668,731,722,795,684,591,461,349,306,366,11188
Albury Region,672,827,898,913,462,485,504,559,736,774,882,836,817,685,494,352,218,273,11387
Lavington,837,936,837,936,1082,1025,937,816,833,783,941,928,957,796,638,526,368,309,14485
Hay,169,240,174,176,163,148,132,121,192,214,300,189,162,182,143,142,97,87,3031
Wentworth,391,423,424,411,323,296,294,317,367,390,444,418,429,375,300,199,144,114,6059
Wentworth-Balranald Region,187,208,207,224,197,205,238,213,297,245,343,290,254,186,164,131,94,66,3749
Corowa,286,339,318,414,347,291,270,208,315,318,400,379,397,389,372,325,211,215,5794
Corowa Region,412,425,384,383,183,299,353,333,433,396,472,433,537,551,442,333,244,163,6776
Deniliquin,433,462,438,489,408,373,354,382,471,435,504,524,552,419,360,342,220,271,7437
Deniliquin Region,400,402,407,466,285,270,248,337,402,494,609,592,531,457,359,274,185,176,6894
Moama,301,286,339,299,233,230,266,297,316,315,330,351,461,496,408,277,197,171,5573
Tocumwal,504,512,565,577,379,415,490,466,533,537,643,742,800,773,622,515,293,305,9671
Armidale,1393,1389,1615,2200,2845,1626,1235,1044,1282,1329,1525,1400,1179,1095,866,679,481,508,23691
Armidale Region,267,323,290,291,245,197,211,260,332,284,304,352,317,276,190,134,104,109,4486
Armidale Region,339,500,455,423,279,246,288,370,434,442,491,532,465,416,291,189,110,79,6349
Walcha,167,205,185,189,131,162,143,137,213,239,216,223,261,260,207,143,83,104,3268
Glen Innes,538,534,525,524,468,382,436,407,533,494,699,694,672,677,482,365,286,250,8966
Inverell,870,824,797,917,690,755,738,635,724,665,704,709,645,686,623,512,313,366,12173
Inverell Region,313,367,427,369,192,168,270,276,340,315,460,432,388,363,268,192,118,79,5337
Inverell Region,376,387,301,286,207,215,236,273,364,374,446,402,419,441,383,274,181,152,5717
Tenterfield,332,435,438,341,245,179,317,349,430,350,557,637,621,610,455,300,196,188,6980
Moree,708,638,554,574,680,664,608,552,600,499,557,527,404,438,318,251,158,163,8893
Moree Region,422,486,446,371,331,385,339,346,406,405,449,355,305,255,173,130,63,53,5720
Narrabri,558,523,474,437,474,451,459,479,463,415,487,475,448,332,285,237,163,157,7317
Narrabri Region,363,429,370,312,260,233,294,277,281,370,430,369,320,275,213,155,106,77,5134
Gunnedah,668,664,620,652,683,681,529,493,540,495,639,525,457,460,442,406,258,276,9488
Gunnedah Region,353,327,337,317,197,192,262,267,329,313,360,355,285,262,206,123,100,66,4651
Quirindi,424,539,489,469,374,419,397,406,455,481,615,547,528,510,421,340,216,186,7816
Tamworth,1373,1361,1504,1675,1403,1359,1151,1126,1317,1413,1440,1280,1234,1151,848,694,523,452,21304
Tamworth,992,914,859,964,923,1006,963,820,957,865,969,907,786,697,584,543,443,508,14700
Tamworth,548,622,460,479,504,462,401,306,334,287,312,273,209,207,169,128,66,39,5806
Tamworth Region,1060,1353,1312,1164,763,658,923,1007,1268,1234,1361,1482,1339,1242,946,671,379,304,18466
Belmont,1033,1084,1232,1231,1065,875,998,1037,1229,1222,1273,1180,1205,1064,810,684,540,506,18268
Belmont South,287,322,334,452,374,302,215,291,435,417,458,411,441,338,288,222,213,171,5971
Charlestown,1738,1608,1393,1525,1540,1612,1855,1536,1642,1686,1658,1529,1382,1195,976,849,745,653,25122
Glendale,1653,1598,1440,1618,1707,1702,1754,1675,1725,1532,1666,1613,1497,1340,838,632,480,584,25054
Mount Hutton,672,560,569,654,648,604,550,548,598,580,634,526,437,432,380,290,219,222,9123
Redhead,201,218,221,237,177,88,148,196,293,242,275,291,224,228,177,158,123,153,3650
Swansea,591,604,599,708,620,491,572,566,722,665,841,834,796,847,689,482,373,373,11373
Valentine,554,784,894,866,720,495,493,628,945,888,1085,1088,894,849,556,406,295,266,12706
Warners Bay,785,866,853,870,744,704,735,858,977,855,907,922,785,795,653,508,386,369,13572
Bolton Point,541,514,564,729,636,508,406,517,608,559,709,566,547,562,389,335,231,297,9218
Bonnells Bay,504,514,553,507,524,484,485,390,563,520,546,660,569,603,474,353,212,167,8628
Edgeworth,1066,959,881,892,773,882,970,935,946,788,767,711,674,580,377,279,251,325,13056
Morisset,731,792,878,1028,1023,787,694,677,881,902,1043,1017,877,973,793,708,600,662,15066
Toronto,685,715,752,877,907,870,591,706,842,786,940,1023,997,1050,758,564,469,504,14036
Wangi Wangi,507,493,556,496,501,396,416,506,579,525,692,718,729,713,546,347,242,181,9143
West Wallsend,462,476,475,444,442,402,414,463,448,410,500,472,416,271,143,99,55,74,6466
Adamstown,1077,953,935,912,1013,1081,1234,1085,1239,1106,1007,824,790,762,690,602,429,426,16165
Beresfield,596,605,581,585,541,551,523,540,573,482,555,514,530,518,412,284,170,165,8725
Hamilton,760,717,590,646,1052,1082,811,741,887,861,922,901,690,590,454,333,316,338,12691
Lambton,1159,1235,1136,971,1259,1030,1020,1109,1432,1162,1191,1066,842,782,572,489,452,513,17420
Maryland,946,957,961,949,802,775,840,918,1067,847,865,697,611,472,304,178,98,62,12349
Mayfield,971,795,643,744,1207,1411,1303,975,1035,953,1013,993,789,649,467,467,366,487,15268
Merewether,797,877,724,802,1443,1311,1026,899,913,923,1009,949,791,667,460,397,268,345,14601
Newcastle,484,348,357,417,1380,1599,1140,618,562,614,754,753,695,500,356,261,163,174,11175
Newcastle Port,0,0,0,4,0,2,1,0,0,0,8,0,2,0,1,2,0,0,20
Shortland,562,505,404,932,2277,1105,808,478,476,424,463,432,393,415,323,298,237,330,10862
Stockton,348,339,314,326,352,351,356,296,463,486,543,556,542,485,405,306,198,212,6878
Wallsend,1183,1152,1165,1345,1425,1409,1400,1325,1237,1137,1288,1324,1203,1156,879,694,521,622,20465
Waratah,783,621,548,738,1442,1350,912,790,782,694,765,718,567,454,377,354,301,505,12701
Wickham,594,406,301,381,745,866,963,610,576,484,519,441,490,345,202,161,140,135,8359
Ballina,736,801,858,891,879,789,798,820,998,1039,1224,1165,1304,1276,977,847,801,927,17130
Ballina Region,849,1069,1177,1075,602,530,846,924,1046,1138,1238,1298,1206,1156,827,609,415,500,16505
Bangalow,363,432,403,310,181,151,209,366,551,468,516,609,463,298,169,117,102,91,5799
Brunswick Heads,519,544,523,525,308,328,391,587,707,606,703,757,631,514,291,258,173,196,8561
Byron Bay,434,562,438,492,726,808,814,684,698,680,792,784,685,477,280,184,170,194,9902
Evans Head,278,269,292,311,214,234,208,262,272,336,418,410,398,376,287,241,201,185,5192
Lennox Head,454,573,577,550,335,325,395,515,667,548,684,643,507,404,251,207,156,137,7928
Mullumbimby,399,632,552,485,238,195,301,443,541,610,656,740,715,408,269,197,147,157,7685
Casino,877,890,901,790,693,652,669,642,675,678,798,726,750,703,627,510,399,393,12373
Casino Region,435,447,476,533,358,262,300,363,423,487,642,568,585,488,322,209,129,117,7144
Goonellabah,879,839,895,927,896,785,822,698,816,718,885,836,807,732,552,425,347,354,13213
Kyogle,402,523,468,498,329,345,350,362,455,494,591,732,654,574,320,258,209,209,7773
Lismore,901,894,983,1150,1465,1034,958,1012,980,1149,1182,1118,884,626,516,480,380,463,16175
Lismore Region,772,1001,1150,1087,538,499,587,816,1179,1193,1515,1602,1364,923,558,349,224,169,15526
Kingscliff,630,755,802,749,507,531,573,678,849,896,924,943,722,755,602,507,333,368,12124
Murwillumbah,541,604,613,537,406,396,488,398,540,538,605,562,496,483,376,336,263,397,8579
Murwillumbah Region,530,678,682,610,317,312,410,512,672,721,982,1107,871,600,399,284,169,152,10008
Pottsville,867,950,922,885,598,471,702,931,1052,892,1022,983,870,742,552,408,301,230,13378
Tweed Heads,1018,923,945,1045,1081,1059,966,893,1149,992,1270,1343,1460,1378,1055,1000,903,815,19295
Tweed Heads,1365,1494,1559,1766,1438,1248,1243,1329,1626,1663,1658,1726,1661,1929,1765,1649,1346,1361,27826
Griffith ,1440,1332,1244,1357,1445,1462,1295,1075,1198,1235,1199,1082,979,743,692,583,468,489,19318
Griffith Region,882,1065,1009,865,718,750,737,760,929,952,1059,963,736,560,464,349,219,176,13193
Leeton,649,687,950,1256,573,542,507,541,613,586,712,627,496,502,449,325,230,201,10446
Narrandera,404,455,394,388,274,234,352,328,366,379,484,464,404,365,287,223,166,210,6177
Tumbarumba,186,239,259,180,166,159,178,232,234,211,266,308,275,206,181,143,90,100,3613
Tumut,445,514,403,402,374,394,402,389,419,386,426,397,393,357,275,221,156,238,6591
Tumut Region,273,339,328,254,187,212,220,191,329,332,381,368,355,325,251,203,147,90,4785
Cootamundra,457,521,460,466,343,325,329,313,441,456,569,561,630,585,506,380,269,257,7868
Gundagai,216,262,270,242,159,146,208,198,223,241,253,233,260,241,183,148,98,83,3664
Junee,378,394,406,350,426,480,401,390,472,385,444,461,342,340,221,146,101,99,6236
Temora,397,474,478,398,240,270,233,338,417,388,511,471,456,452,384,300,235,217,6659
Wagga Wagga,1235,1227,1127,1131,1109,1138,1028,1053,1126,935,1128,1153,1003,905,661,454,319,330,17062
