SUBURB,POSTCODE,HOUSE PRICE,HOUSE RENT PRICE,UNIT PRICE,UNIT RENT PRICE
AUBURN,2144,825000,480,450750,420
LONG POINT,2564,886000,0,0,0
CHATSWOOD,2067,1817500,890,810000,600
WARRIEWOOD,2102,1215000,900,724000,700
SOUTH GRANVILLE,2142,710000,482.5,484975,505
KENSINGTON,2033,1890500,950,705000,550
CARLTON,2218,1130000,580,615000,450
BARDWELL PARK,2207,1257500,575,578666,0
LONGUEVILLE,2066,3000000,1500,1350000,0
INGLESIDE,2101,2825000,1300,0,0
KEMPS CREEK,2178,1190000,570,0,0
WOLLI CREEK,2205,765000,510,670000,560
DEAN PARK,2761,535400,410,200000,0
RHODES,2138,1837500,745,765000,620
WEST PENNANT HILLS,2125,1318000,720,822500,550
WOODBINE,2560,510500,395,428500,0
BLACKTOWN,2148,600000,420,410000,387.5
SOUTH PENRITH,2750,540000,440,425000,382.5
GILEAD,2560,11050000,0,0,0
SOUTH COOGEE,2034,1800500,1100,785000,650
GUILDFORD,2161,715000,480,407500,400
MATRAVILLE,2036,1300000,750,700000,600
WILLOUGHBY,2068,1700000,950,700000,515
ILLAWONG,2234,1070000,700,650250,560
GREYSTANES,2145,726000,480,585000,500
AVALON,2107,2400000,0,0,0
NORTHBRIDGE,2063,2300000,1500,860000,640
PALM BEACH,2108,2150000,1200,1150000,1050
HUNTERS HILL,2110,2020000,1000,900000,600
GUILDFORD WEST,2161,650000,475,505000,450
EAST KILLARA,2071,1805000,1125,838000,0
DENISTONE EAST,2112,1320000,580,1064600,0
ASHFIELD,2131,1350000,655,630000,450
PRESTONS,2170,635000,500,471000,455
MACQUARIE PARK,2113,7000000,0,628500,475
WATERFALL,2233,700000,0,20000,0
LA PEROUSE,2036,1537500,0,1054000,0
KU-RING-GAI CHASE,2105,1300000,0,0,0
PENDLE HILL,2145,779250,445,442000,400
CLEMTON PARK,2206,1045500,595,715000,0
NORTH NARRABEEN,2101,1140000,762.5,830000,0
BELMORE,2192,925000,550,456750,370
FOREST LODGE,2037,1135000,725,785000,540
ROSEVILLE,2069,2010000,1100,723000,600
TURRAMURRA,2074,1560000,950,762000,570
SOUTH WENTWORTHVILLE,2145,710000,500,508000,430
CARTWRIGHT,2168,500000,410,449500,0
ERSKINE PARK,2759,580000,430,410000,0
KOGARAH,2217,1000000,602.5,604000,460
PORT BOTANY,2036,0,0,0,0
DAVIDSON,2085,1280000,900,735000,0
ST LEONARDS,2065,2350000,795,794500,565
THIRROUL,2515,860000,620,607000,445
BLAKEHURST,2221,1455000,660,739000,345
ROSEMEADOW,2560,441250,390,349000,340
EASTERN CREEK,2766,580000,420,480000,0
LEETS VALE,2775,388333,0,0,0
LLANDILO,2747,970290,580,0,0
MILLER,2168,480500,410,280000,0
DEE WHY,2099,1350000,800,620500,510
KILLARNEY HEIGHTS,2087,1430000,940,872157,0
PYMBLE,2073,1820000,995,750000,620
