SUBURB,HOUSE PRICE,UNIT PRICE
EAST RYDE,1375000,1180333
DACEYVILLE,1251666,680000
YAGOONA,743400,469000
BEXLEY,988000,622500
PYMBLE,1820000,750000
SILVERWATER,767500,548000
EVELEIGH,0,638500
CAMPERDOWN,1265000,765000
WEST PYMBLE,1334000,1015000
REDFERN,1180000,759500
DOVER HEIGHTS,2836000,1125000
MARSDEN PARK,1810202,0
GLENWOOD,802000,508642
STANWELL TOPS,937166,0
NORTH TURRAMURRA,1400000,1070000
NARRABEEN,1770000,705000
CLONTARF,2550000,1600000
COLLAROY,1740000,680000
WATERLOO,1177500,794000
INGLEBURN,555000,370000
LITTLE BAY,1420000,855000
GREENACRE,812500,510000
ROCKDALE,1026250,595500
SUTHERLAND,880500,545000
WILEY PARK,800000,380000
CARINGBAH SOUTH,1282000,910800
GYMEA BAY,1102000,870000
GIRRAWEEN,750000,535000
SOUTH PENRITH,540000,425000
BERALA,846250,446000
LIVERPOOL,671750,361075
KINGS PARK,627500,404714
RHODES,1837500,765000
WINDSOR DOWNS,1225000,0
INGLESIDE,2825000,0
NORTH MANLY,1415000,563200
MOUNT VERNON,958571,0
HECKENBERG,520000,0
ESCHOL PARK,458775,295000
LANE COVE,1645500,690500
COMO,1045000,678600
NEWTOWN,1160000,577000
KEMPS CREEK,1190000,0
WESTLEIGH,1025000,670000
ST MARYS,509000,392750
STANWELL PARK,1035000,740000
EAST HILLS,800000,657142
NORTH RYDE,1315500,931000
LANE COVE WEST,1585000,728455
HORSLEY PARK,1285000,0
KELLYVILLE,950000,720000
CLAYMORE,85000,0
MCGRATHS HILL,585000,465000
DUNDAS VALLEY,907500,758000
FRENCHS FOREST,1250000,756785
HAMMONDVILLE,642500,480428
WALLACIA,548000,240000
SEAFORTH,1750000,1100000
ORAN PARK,625000,642500
CROYDON PARK,1097500,645000
GLENORIE,1442500,0
LAKEMBA,790000,376000
MACQUARIE FIELDS,500000,386500
SHANES PARK,770000,0
LOFTUS,837000,680000
CROWS NEST,1445000,789000
