SUBURB,PRIVATE TRAVEL TIME,PUBLIC TRAVEL TIME
GLENFIELD,40 mins,1 hour 2 mins
GLENHAVEN,34 mins,1 hour 16 mins
GLENMORE PARK,53 mins,1 hour 38 mins
GLENORIE,44 mins,1 hour 18 mins
GLENWOOD,34 mins,2 hours 14 mins
GORDON,23 mins,38 mins
GRANVILLE,33 mins,45 mins
GRAYS POINT,45 mins,1 hour 1 min
GREAT MACKEREL BEACH,59 mins,2 hours 9 mins
GREEN VALLEY,43 mins,1 hour 41 mins
GREENACRE,30 mins,58 mins
GREENDALE,1 hour 3 mins,n/a
GREENFIELD PARK,48 mins,1 hour 40 mins
GREENWICH,15 mins,30 mins
GREGORY HILLS,53 mins,1 hour 46 mins
GREYSTANES,37 mins,1 hour 41 mins
GUILDFORD,39 mins,54 mins
GUILDFORD WEST,37 mins,1 hour 6 mins
GYMEA,39 mins,1 hour 5 mins
GYMEA BAY,43 mins,1 hour 32 mins
HABERFIELD,15 mins,28 mins
HAMMONDVILLE,36 mins,1 hour 21 mins
HARRINGTON PARK,53 mins,1 hour 59 mins
HARRIS PARK,32 mins,47 mins
HASSALL GROVE,38 mins,1 hour 36 mins
HAYMARKET,8 mins,12 mins
HEATHCOTE,49 mins,1 hour 30 mins
HEBERSHAM,41 mins,1 hour 39 mins
HECKENBERG,44 mins,1 hour 46 mins
HELENSBURGH,1 hour 1 min,1 hour 40 mins
HENLEY,16 mins,28 mins
HILLSDALE,18 mins,34 mins
HINCHINBROOK,43 mins,1 hour 45 mins
HOBARTVILLE,54 mins,2 hours 20 mins
HOLROYD,33 mins,1 hour 0 mins
HOLSWORTHY,36 mins,1 hour 7 mins
HOMEBUSH,26 mins,40 mins
HOMEBUSH WEST,30 mins,34 mins
HORNINGSEA PARK,42 mins,1 hour 27 mins
HORNSBY,36 mins,53 mins
HORNSBY HEIGHTS,40 mins,1 hour 1 min
HORSLEY PARK,43 mins,1 hour 33 mins
HOXTON PARK,43 mins,1 hour 51 mins
HUNTERS HILL,17 mins,22 mins
HUNTLEYS COVE,15 mins,23 mins
HUNTLEYS POINT,15 mins,24 mins
HURLSTONE PARK,19 mins,43 mins
HURSTVILLE,31 mins,57 mins
HURSTVILLE GROVE,32 mins,1 hour 9 mins
ILLAWONG,36 mins,1 hour 10 mins
INGLEBURN,45 mins,1 hour 8 mins
INGLESIDE,38 mins,1 hour 21 mins
JAMISONTOWN,52 mins,1 hour 53 mins
JANNALI,41 mins,1 hour 7 mins
KANGAROO POINT,34 mins,1 hour 23 mins
KAREELA,40 mins,1 hour 37 mins
KEARNS,45 mins,1 hour 32 mins
KELLYVILLE,37 mins,1 hour 4 mins
KELLYVILLE RIDGE,37 mins,1 hour 56 mins
KEMPS CREEK,51 mins,2 hours 35 mins
KENSINGTON,12 mins,20 mins
KENTHURST,40 mins,1 hour 14 mins
KENTLYN,51 mins,1 hour 48 mins
KILLARA,23 mins,32 mins
KILLARNEY HEIGHTS,24 mins,1 hour 13 mins
KINGS LANGLEY,33 mins,1 hour 52 mins
KINGS PARK,33 mins,1 hour 43 mins
KINGSFORD,15 mins,21 mins
KINGSGROVE,23 mins,38 mins
KINGSWOOD,53 mins,1 hour 30 mins
KIRKHAM,55 mins,2 hours 9 mins
KIRRAWEE,39 mins,1 hour 8 mins
KIRRIBILLI,9 mins,14 mins
KOGARAH,25 mins,52 mins
KOGARAH BAY,26 mins,1 hour 24 mins
KU-RING-GAI CHASE,38 mins,1 hour 27 mins
KURNELL,44 mins,1 hour 26 mins
KYEEMAGH,17 mins,1 hour 22 mins
KYLE BAY,31 mins,1 hour 5 mins
LA PEROUSE,25 mins,40 mins
LAKEMBA,31 mins,46 mins
LALOR PARK,34 mins,1 hour 26 mins
LANE COVE,13 mins,19 mins
LANE COVE NORTH,15 mins,23 mins
LANE COVE WEST,15 mins,30 mins
LANSDOWNE,38 mins,1 hour 36 mins
LANSVALE,43 mins,1 hour 28 mins
LAVENDER BAY,10 mins,18 mins
LEETS VALE,1 hour 39 mins,3 hours 19 mins
LEICHHARDT,11 mins,23 mins
LEPPINGTON,44 mins,2 hours 10 mins
LETHBRIDGE PARK,45 mins,n/a
LEUMEAH,47 mins,1 hour 15 mins
LEWISHAM,18 mins,32 mins
LIBERTY GROVE,25 mins,50 mins
LIDCOMBE,32 mins,38 mins
LILLI PILLI,40 mins,1 hour 19 mins
LILYFIELD,10 mins,27 mins
LILYVALE,1 hour 5 mins,n/a
LINDFIELD,21 mins,30 mins
LINLEY POINT,15 mins,40 mins
LITTLE BAY,24 mins,40 mins
LIVERPOOL,39 mins,1 hour 23 mins
LLANDILO,50 mins,1 hour 38 mins
LOFTUS,44 mins,1 hour 11 mins
LONDONDERRY,53 mins,1 hour 46 mins
LONG POINT,47 mins,1 hour 37 mins
LONGUEVILLE,16 mins,36 mins
LOWER PORTLAND,1 hour 19 mins,4 hours 0 mins
LUCAS HEIGHTS,48 mins,n/a
LUDDENHAM,56 mins,1 hour 47 mins
LUGARNO,37 mins,1 hour 1 min
LURNEA,37 mins,1 hour 36 mins
MACQUARIE FIELDS,43 mins,1 hour 28 mins
MACQUARIE LINKS,42 mins,1 hour 32 mins
MACQUARIE PARK,19 mins,36 mins
MADDENS PLAINS,1 hour 3 mins,n/a
MAIANBAR,1 hour 3 mins,1 hour 59 mins
MALABAR,21 mins,32 mins
MANLY,27 mins,38 mins
MANLY VALE,24 mins,34 mins
MARAYLYA,51 mins,1 hour 51 mins
MARAYONG,36 mins,1 hour 23 mins
MAROOTA,1 hour 0 mins,2 hours 26 mins
MAROUBRA,18 mins,30 mins
MARRICKVILLE,21 mins,30 mins
